Unnamed: 0.1,Unnamed: 0,price,title,year,mileage,transmission,body_type,drive_type,color,engine_capacity,engine_power,fuel_type,travel_distance,price_scaled,year_scaled,mileage_scaled,engine_capacity_scaled,engine_power_scaled,travel_distance_scaled
154960,158131,1595000,Geely Atlas I,2019,51553,механика,внедорожник 5 дв.,передний,белый,2.0,139.0,Бензин,0,0.0590802251209735,1.026442492873464,-1.083076239411819,-0.8359956414597183,-0.7506675387664397,-0.0096796395548317
14872,14942,330000,Mitsubishi Galant VIII,1997,485577,автомат,универсал 5 дв.,передний,синий,2.0,136.0,Бензин,0,-0.7874906312268872,-1.5331492603443049,-0.2516758274743822,-0.9691807467974658,-1.2918378090955067,-0.0096796395548317
89852,90766,1049000,Nissan Teana II,2010,256000,вариатор,седан,передний,серый,2.5,182.0,Бензин,0,0.2359092047388784,-0.0206632243519868,-0.5288092981201945,0.2294852012422606,-0.0291071783276838,-0.0096796395548317
182260,187329,3490000,Geely Monjaro I,2023,3876,автомат,внедорожник 5 дв.,полный,синий,2.0,238.0,Бензин,0,1.8494781197469976,1.6081678913320478,-1.5914105428912442,0.3626703065800081,0.0868578795999733,-0.0096796395548317
127335,129428,598000,Datsun on-DO I,2015,128649,механика,седан,передний,серебристый,1.6,87.0,Бензин,0,-0.4351580085066548,0.561062174106597,-0.1554211152665286,-0.8359956414597183,-0.7120125194572207,-0.0096796395548317
56130,56538,450000,Toyota Passo I (C10),2005,250000,автомат,хэтчбек 5 дв.,передний,белый,1.0,71.0,Бензин,0,-0.6393959905602902,-0.6023886228105706,0.7763999507278246,-0.3032552201087288,-0.4027723649834681,-0.0096796395548317
124851,126769,2480000,Hyundai Santa Fe III Рестайлинг,2015,80906,автомат,внедорожник 5 дв.,полный,коричневый,2.2,200.0,Дизель,0,-0.139852874281918,0.561062174106597,-1.3269536935801338,-1.102365852135213,-0.9310576288761286,-0.0096796395548317
48743,49086,70000,Lada (ВАЗ) 2111,2004,149000,механика,универсал 5 дв.,передний,чёрный,1.5,79.0,Бензин,0,-0.6305545194757173,-0.7187337025022874,1.5362820476598904,0.2294852012422606,-0.4414273842926872,-0.0096796395548317
19305,19398,250000,Nissan Primera II (P11),1998,300000,вариатор,универсал 5 дв.,передний,синий,2.0,150.0,Бензин,0,-0.25037126283908,-1.3004591009608713,-0.3410737212310958,2.360446886646219,2.4576990638987426,-0.0096796395548317
121765,123614,2000000,BMW X3 20i xDrive II (F25),2014,116000,автомат,внедорожник 5 дв.,полный,белый,2.0,184.0,Бензин,0,-0.3896244324211041,0.561062174106597,-0.9369106831195922,-0.8359956414597183,-0.8666325966940969,-0.0096796395548317
177895,182614,4120000,Lexus NX 250 II,2022,39000,автомат,внедорожник 5 дв.,передний,белый,2.5,201.0,Бензин,0,0.1691565401239068,1.491822811640331,-1.5080023080162304,-0.9691807467974658,-0.32546232636503,-0.0096796395548317
30462,30636,250000,Ford Focus I Рестайлинг,2001,280000,механика,универсал 5 дв.,передний,чёрный,1.6,100.0,Бензин,0,-0.5377190730877012,-1.0677689415774376,0.0053431170761694,-0.3032552201087288,-0.544507435783938,-0.0096796395548317
36617,36839,330000,Chrysler PT Cruiser,2002,180000,автомат,универсал 5 дв.,передний,чёрный,2.4,152.0,Бензин,0,-0.4890909821225499,-0.9514238618857208,2.6090567727404537,-0.9691807467974658,-0.8022075645120651,-0.0096796395548317
13837,13903,3200000,Mercedes-Benz G-Класс 320 II (W463),1997,75000,автомат,внедорожник 5 дв.,полный,чёрный,3.2,210.0,Бензин,0,-0.6261337839334308,-1.5331492603443049,1.893873622686745,0.2294852012422606,-0.0935322105097156,-0.0096796395548317
165592,169480,3198600,Audi A6 45 TFSI V (C8),2020,43241,робот,седан,полный,чёрный,2.0,265.0,Бензин,0,2.3733918669228866,1.2591326522568975,-1.0751287666568472,2.094076675970724,1.5299786004774851,-0.0096796395548317
190161,196123,5120000,Volkswagen Tiguan L Pro III (China Market),2024,5,робот,внедорожник 5 дв.,полный,белый,2.0,220.0,Бензин,0,,,,,,
168791,172839,2680000,Honda Odyssey V Рестайлинг 2,2021,33000,вариатор,минивэн,передний,белый,2.0,215.0,Гибрид,0,0.8548126227325398,1.3754777319486142,-1.3867340651352482,-0.0368850094332338,0.3574430147645068,-0.0096796395548317
102433,103602,1150000,Mazda CX-7 I Рестайлинг,2011,140000,автомат,внедорожник 5 дв.,полный,чёрный,2.3,238.0,Бензин,0,-0.2061639074162152,0.2120269350314466,0.1953136413091859,0.2294852012422606,-0.0291071783276838,-0.0096796395548317
107606,108987,2650000,Mercedes-Benz M-Класс 350 III (W166),2012,128000,автомат,внедорожник 5 дв.,полный,белый,3.5,306.0,Бензин,0,0.234141352595518,0.3283720147231634,0.0032690859410137,0.6290405172555031,0.1641679182184115,-0.0096796395548317
86568,87401,1300000,Volkswagen Passat CC I,2009,153000,робот,седан,передний,чёрный,1.8,152.0,Бензин,0,-0.3940451679633906,-0.0206632243519868,-0.1265008966362318,0.2294852012422606,0.0353178538543479,-0.0096796395548317
74766,75369,1640000,Toyota Estima III,2007,187000,вариатор,минивэн,полный,белый,2.4,170.0,Бензин,0,-0.4714080399534039,-0.2533533837354204,0.3651696394469418,0.3626703065800081,-0.0419921847640901,-0.0096796395548317
28312,28459,530000,Mercedes-Benz A-Класс 160 I (W168),2000,250000,автомат,хэтчбек 5 дв.,передний,серебристый,1.6,102.0,Бензин,0,-0.508984292062839,-1.0677689415774376,-0.225214050922395,-0.5696254307842236,0.6795681756746658,-0.0096796395548317
50066,50412,749000,"Toyota Corolla Runx IX (E120, E130) Рестайлинг",2004,234000,автомат,хэтчбек 5 дв.,передний,синий,1.5,110.0,Бензин,0,-0.5598227507991336,-0.7187337025022874,0.3294104819442564,-1.102365852135213,-0.9568276417489414,-0.0096796395548317
55078,55474,2017000,Toyota Land Cruiser Prado 120 Series,2005,113500,автомат,внедорожник 5 дв.,полный,чёрный,2.7,163.0,Бензин,0,-0.3387859736848096,-0.6023886228105706,1.5362820476598904,3.425927729348198,2.5092390896443684,-0.0096796395548317
101713,102874,1700000,BMW 5 серии 550i xDrive VI (F10/F11/F07),2011,226607,автомат,седан,полный,синий,4.4,407.0,Бензин,0,-0.1000662544013397,0.2120269350314466,-0.6092674025012368,-0.3032552201087288,0.4991780855649768,-0.0096796395548317
