price,title,year,mileage,engine,transmission,body_type,drive_type,color
1 160 000 ₽,Mitsubishi L200 IV,2007,178000км,2.5 л / 136 л.с. / Дизель,автомат,пикап двойная кабина,полный,зелёный
635 000 ₽,Toyota Porte II,2014,53000км,1.5 л / 109 л.с. / Бензин,вариатор,компактвэн,передний,коричневый
116 000 ₽,Lada (ВАЗ) 2110,2003,150000км,1.5 л / 79 л.с. / Бензин,механика,седан,передний,серебристый
2 100 000 ₽,Toyota HiAce H200,2006,571500км,2.7 л / 151 л.с. / Бензин,механика,минивэн,задний,серебристый
100 000 ₽,Lada (ВАЗ) 2111,2003,200000км,1.5 л / 72 л.с. / Бензин,механика,универсал 5 дв.,передний,чёрный
1 787 000 ₽,Ford Mondeo V Рестайлинг,2019,163770км,2.0 л / 150 л.с. / Дизель,автомат,универсал 5 дв.,передний,серый
765 000 ₽,Toyota Chaser VI (X100),1997,145000км,2.5 л / 200 л.с. / Бензин,автомат,седан,задний,чёрный
1 850 000 ₽,BMW X6 35i 6-speed I (E71),2009,201000км,3.0 л / 306 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,красный
,BMW X5 30d IV (G05/G18) Рестайлинг,2024,9000км,3.0 л / 286 л.с. / Дизель,автомат,внедорожник 5 дв.,полный,синий
1 999 999 ₽,Mercedes-Benz CL-Класс 550 III (C216),2008,182000км,5.5 л / 388 л.с. / Бензин,автомат,купе-хардтоп,полный,чёрный
876 512 ₽,Kia Morning III Рестайлинг 1,2021,33063км,1.0 л / 76 л.с. / Бензин,автомат,хэтчбек 5 дв.,передний,белый
285 000 ₽,Kia Picanto I,2006,227646км,1.1 л / 64 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,синий
650 000 ₽,Hyundai Santa Fe Classic Classic,2007,245000км,2.0 л / 112 л.с. / Дизель,механика,внедорожник 5 дв.,передний,чёрный
1 455 620 ₽,Lynk & Co 01 I,2019,96000км,2.0 л / 190 л.с. / Бензин,автомат,внедорожник 5 дв.,передний,белый
3 580 000 ₽,Lexus RX 350 III Рестайлинг,2014,150000км,3.5 л / 277 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,белый
240 000 ₽,Toyota Camry III (XV10),1992,255000км,1.8 л / 115 л.с. / Бензин,автомат,седан,передний,белый
6 500 000 ₽,Jaguar F-Type R I,2016,42000км,5.0 л / 550 л.с. / Бензин,автомат,купе,полный,чёрный
9 799 000 ₽,BMW 8 серии Gran Coupe M850i xDrive II (G14/G15/G16),2020,74000км,4.4 л / 530 л.с. / Бензин,автомат,седан,полный,белый
230 000 ₽,Chevrolet Niva I,2004,125300км,1.7 л / 80 л.с. / Бензин,механика,внедорожник 5 дв.,полный,бежевый
950 000 ₽,Mitsubishi L200 III Рестайлинг,2006,300000км,2.5 л / 100 л.с. / Дизель,механика,пикап двойная кабина,полный,чёрный
3 900 000 ₽,BMW 5 серии 530d xDrive VII (G30/G31),2017,130000км,3.0 л / 249 л.с. / Дизель,автомат,седан,полный,серый
995 000 ₽,Nissan Qashqai I Рестайлинг,2010,92923км,2.0 л / 141 л.с. / Бензин,вариатор,внедорожник 5 дв.,передний,серый
650 000 ₽,Hyundai i30 I Рестайлинг,2011,200000км,1.6 л / 122 л.с. / Бензин,автомат,универсал 5 дв.,передний,серый
70 000 ₽,Lada (ВАЗ) 2115,2006,130000км,1.5 л / 78 л.с. / Бензин,механика,седан,передний,серебристый
565 000 ₽,Chevrolet Cruze I,2009,340000км,1.6 л / 109 л.с. / Бензин,автомат,седан,передний,серебристый
220 000 ₽,ЗАЗ 968 М,1993,3000км,1.2 л / 42 л.с. / Бензин,механика,седан 2 дв.,задний,белый
4 270 446 ₽,"Mercedes-Benz E-Класс 300 L V (W213, S213, C238) Рестайлинг",2021,23067км,2.0 л / 258 л.с. / Бензин,автомат,седан,задний,чёрный
1 695 311 ₽,Ford Focus Shooting Brake IV Рестайлинг (China Market),2020,18000км,1.5 л / 171 л.с. / Бензин,автомат,универсал 5 дв.,передний,белый
5 150 000 ₽,BMW X3 M40d III (G01),2020,33000км,3.0 л / 326 л.с. / Дизель,автомат,внедорожник 5 дв.,полный,белый
1 699 000 ₽,Infiniti QX60 I Рестайлинг,2017,200060км,3.5 л / 262 л.с. / Бензин,вариатор,внедорожник 5 дв.,полный,чёрный
2 900 000 ₽,Toyota Hilux VII Рестайлинг,2014,150000км,3.0 л / 170 л.с. / Дизель,автомат,пикап двойная кабина,полный,серый
720 000 ₽,Toyota Vitz III (XP130) Рестайлинг,2016,47000км,1.5 л / 109 л.с. / Бензин,вариатор,хэтчбек 5 дв.,передний,чёрный
745 000 ₽,Renault Latitude I,2010,290297км,2.5 л / 177 л.с. / Бензин,автомат,седан,передний,чёрный
1 300 000 ₽,Volvo XC70 II,2008,295000км,3.2 л / 238 л.с. / Бензин,автомат,универсал 5 дв.,полный,золотистый
90 000 ₽,Lada (ВАЗ) 2110,1999,250000км,1.5 л / 79 л.с. / Бензин,механика,седан,передний,белый
400 000 ₽,Chevrolet Lacetti I,2006,326000км,1.6 л / 109 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,бежевый
1 955 000 ₽,Audi Q3 I (8U) Рестайлинг,2016,135000км,2.0 л / 180 л.с. / Бензин,робот,внедорожник 5 дв.,полный,золотистый
41 479 364 ₽,Lamborghini Urus S I Рестайлинг,2025,1км,4.0 л / 666 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,фиолетовый
14 627 000 ₽,Mercedes-Benz GLS 580 II (X167),2023,29229км,4.0 л / 489 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый
1 040 000 ₽,Skoda Rapid I Рестайлинг,2018,161981км,1.6 л / 90 л.с. / Бензин,механика,лифтбек,передний,белый
3 000 000 ₽,Land Rover Range Rover Sport II,2015,227285км,3.0 л / 249 л.с. / Дизель,автомат,внедорожник 5 дв.,полный,чёрный
660 000 ₽,Renault Duster I,2013,219000км,1.6 л / 102 л.с. / Бензин,механика,внедорожник 5 дв.,полный,бежевый
6 499 000 ₽,Acura TLX II,2025,15км,2.0 л / 276 л.с. / Бензин,автомат,седан,передний,серый
250 000 ₽,Lada (ВАЗ) 2131 (4x4) I,2004,110000км,1.7 л / 81 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый
350 000 ₽,Opel Zafira A Рестайлинг,2004,279000км,2.2 л / 147 л.с. / Бензин,механика,компактвэн,передний,серый
450 000 ₽,Renault Sandero I,2011,151000км,1.6 л / 103 л.с. / Бензин,автомат,хэтчбек 5 дв.,передний,синий
5 344 951 ₽,Volvo XC60 II Рестайлинг,2023,12082км,2.0 л / 197 л.с. / Дизель,автомат,внедорожник 5 дв.,полный,серый
620 000 ₽,"Mercedes-Benz E-Класс 200 II (W210, S210)",1997,390000км,2.0 л / 136 л.с. / Бензин,механика,седан,задний,серебристый
115 000 ₽,Lada (ВАЗ) 1111 Ока,1995,97000км,0.7 л / 29 л.с. / Бензин,механика,хэтчбек 3 дв.,передний,серый
730 000 ₽,Mazda 5 I (CR),2007,240000км,1.8 л / 115 л.с. / Бензин,механика,компактвэн,передний,чёрный
2 250 000 ₽,Toyota Camry VII (XV50) Рестайлинг,2016,171000км,3.5 л / 249 л.с. / Бензин,автомат,седан,передний,белый
1 530 000 ₽,Honda Vezel I,2016,171000км,1.5 л / 131 л.с. / Бензин,вариатор,внедорожник 5 дв.,передний,синий
7 500 000 ₽,Toyota Land Cruiser Prado 150 Series Рестайлинг 3,2023,6751км,2.7 л / 163 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,белый
2 000 000 ₽,Lexus LX 470 II Рестайлинг,2002,277000км,4.7 л / 234 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,чёрный
15 382 000 ₽,Mercedes-Benz S-Класс 580 Long 4MATIC VII (W223),2022,25150км,4.0 л / 503 л.с. / Бензин,автомат,седан,полный,чёрный
200 000 ₽,Toyota Sprinter Carib II,1993,100000км,1.6 л / 115 л.с. / Бензин,механика,универсал 5 дв.,полный,чёрный
130 000 ₽,Peugeot 206,2000,285200км,1.4 л / 75 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,синий
80 000 ₽,Lada (ВАЗ) 2104 21047,1998,33333км,1.5 л / 72 л.с. / Бензин,механика,универсал 5 дв.,задний,зелёный
930 000 ₽,Lada (ВАЗ) Vesta SW I,2018,149316км,1.6 л / 106 л.с. / Бензин,механика,универсал 5 дв.,передний,коричневый
550 000 ₽,Great Wall Hover H5,2012,170000км,2.4 л / 136 л.с. / Бензин,механика,внедорожник 5 дв.,полный,чёрный
2 200 000 ₽,Chery Arrizo 8,2023,4610км,1.6 л / 186 л.с. / Бензин,робот,седан,передний,серый
750 000 ₽,Citroen Berlingo II,2012,325000км,1.6 л / 90 л.с. / Дизель,механика,компактвэн,передний,серебристый
210 000 ₽,Daihatsu Storia I (M100) Рестайлинг,2001,247000км,1.0 л / 64 л.с. / Бензин,автомат,хэтчбек 5 дв.,передний,белый
550 000 ₽,Mercedes-Benz Vito 108 CDI I (W638),2000,500000км,2.2 л / 82 л.с. / Дизель,механика,фургон,передний,белый
1 350 000 ₽,Kia Sorento II,2009,227000км,2.4 л / 175 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,красный
